Text,Feature,Sentiment,,,,,,,,,,,,,,,,,,,,,,,
 টাকা  ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
পিজ্জা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 চর্বি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
চোর,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 টাকার ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 স্বাদের ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ধরা ,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কেড়ে ,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 চামারের ,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আন্তরিক ,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
  খাবার ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
চালান ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মান ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 গুনগত ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 টিস্যু ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
সুবিধা ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 জোস ,price,Positive,,,,,,,,,,,,,,,,,,,,,,,
 আইটেমই,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভাল ,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সেবা ,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
প্লেস ,ambience,Positive,,,,,,,,,,,,,,,,,,,,,,,
 খাবার  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
সার্ভিস,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বাজে সার্ভিস,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 এরকম হয়নাই ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কাপঝাপ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আইকা গাম  ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 দাঁড়িয়ে খাবো ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভইরা ফেলছেন,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 শেয়ার ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 এমনটা ,service/anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 দোষ না,service,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 Pizza ভর্তা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ডেলিভারীদের দোষ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 খাবার মিক্স,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 লালবাতি ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
রাত পোহায়,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
বয়রা,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বহুদিন ভাল,service,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ভাব দেখায়ল,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
 cook না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
খাওয়ায় যায় নাই,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
খারাপ বিরয়ানি নাই,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আরও যাব ভাবসিলাম  ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
AC কমাই ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 অন্য কিছু,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
এটা কাচ্চি?,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
  গলা ভিজাই  ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
"  শুকনা, কিছুর গ্রেভি ",food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মনে হয়না ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সময় লাগবে,service,Negative,,,,,,,,,,,,,,,,,,,,,,,
খাইতে খাটনি ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 সিদ্ধ হবে,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 মুখের ব্যায়াম ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ৯০%  সিদ্ধ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 সিদ্ধ না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভ্যাট ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 কিপটামি,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
গন্ধ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
শক্ত,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
মোটামুটি ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 হাড্ডি  ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ফেলে দিসি,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
কোনমতে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 আলু  শক্ত ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ভাল্লাগসে,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
দাবিই রাখেনা,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভালই অফার,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
বেটার ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
সবখানে খাইতে  ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 হুরর ব্যাটা,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ফাও টাইপের,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
সিগ্ন্যাচার আইটেম,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
একই! ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
নরমাল ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 একদম বাজে,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 অখাদ্য,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাজে বাজেটে ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
 নাযাওয়াই better ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভাল না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 ভ্যাট ,price,Negative,,,,,,,,,,,,,,,,,,,,,,,
ছ্যাচড়া পাব্লিক ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাজে খাবার,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
different সেট মিল ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাজে ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বোকা ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বর্জন  করুন ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
 খারাপ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
স্বাদ খারাপ ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বলার নাই ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
সব দেই নাই,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
বাজে কেমনে,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
ভালো বিহেভ,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
ভালো লাগলো,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
 সুন্দর  ,ambience,Positive,,,,,,,,,,,,,,,,,,,,,,,
১০০/১০০,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
মোটামুটি ভালো ,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 বাজে লাগসে,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
সেরা  ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 টেস,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 যায়গা কম ,ambience,Negative,,,,,,,,,,,,,,,,,,,,,,,
আলোকসজ্জা  ,ambience,Negative,,,,,,,,,,,,,,,,,,,,,,,
ব্যাবহার ভাল।,behavior,Positive,,,,,,,,,,,,,,,,,,,,,,,
কাচিছ ভাল,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 ১৫ মিনিট সময়,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
পাওয়া যাচ্ছে না ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মান  বাজে,behavior,Negative,,,,,,,,,,,,,,,,,,,,,,,
অত্যন্ত বাজে ,anecdotes/miscellaneous,Negative,,,,,,,,,,,,,,,,,,,,,,,
জাস্ট অসাধারণ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
 বাজে অভিজ্ঞতা ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
সম্পূর্ণ চর্বিযুক্ত ,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
একটু ভালো ,Food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
চিকেনটা  ভাল ,Food,Positive,,,,,,,,,,,,,,,,,,,,,,,
স্বাস্থ্যকর খাবার ,anecdotes/miscellaneous,Positive,,,,,,,,,,,,,,,,,,,,,,,
ফালতু  রেস্টুরেন্ট,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
টোটালি ফাউল,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 মান আরো ভাল ,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 অপেক্ষা রাখেনা,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 খারাপ বিহ্যাভিয়ার,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
আরো এড,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
ঐটা না হয়ছে,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
 বাপের জন্মে ,food/service,Negative,,,,,,,,,,,,,,,,,,,,,,,
ভালো শিক্ষা,food,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 ভালো লাগছে ,food,Positive,,,,,,,,,,,,,,,,,,,,,,,
  যত্ন নিয়েন,anecdotes/miscellaneous,Neutral,,,,,,,,,,,,,,,,,,,,,,,
 মনের মতো না,food,Negative,,,,,,,,,,,,,,,,,,,,,,,
