Text,Sentiment
ভ্যাটের_টাকা_খায়_চালান_না ,Negative
 খেলে_গা_গুলিয়ে_বমি,Negative
 শক্ত_স্বাদহীন_চর্বি,Negative
চোর,Negative
বিল_সময়_টাকার_পরিমাণ_বাড়িয়ে,Negative
খাবার_সুন্দর_স্বস্থের_বেলায়_সচেতন_নয়,Negative
ধরা_খেলে_ভুল,Negative
ক্যাশমেমোটি_কেড়ে_নিয়েছে,Negative
আচরণ_চামারের_খারাপ,Negative
ব্যবহারে_আন্তরিক ,Positive
সার্ভিস_খাবার_দুইটা_ভালো,Positive
ভ্যাট_বেশি_চালান_দেয়_না,Negative
মান_মোটামুটি_ভালো ,Neutral
 গুনগত_মান_বাড়ানো,Neutral
টিস্যু_নেই_টিস্যু_রাখা_উচিত,Negative
সুবিধা_বাড়ানো,Negative
 প্রাইস_জোস ,Positive
জোস_আইটেমই,Positive
আরও_ভাল_করতে_হবে,Negative
 সেবা_ভাল,Positive
প্লেস_সুন্দর,Positive
অসাধারণ_খাবার  ,Positive
হেলিকপ্টার_সার্ভিস_দেওন_লাগবো ,Negative
বাজে_সার্ভিসের_রেস্টুরেন্টের_বদনাম ,Negative
২_৩_বার_পিজা_অর্ডার_করেছি_এরকম_হয়নাই_পারফেক্ট_পেয়েছিলাম_রেষ্ট্রুরেন্টে_খেয়েছিলাম,Negative
 কাপঝাপ_খেয়ে_লাভ ,Negative
 চিজ_নাকি_আইকা_গাম  ,Negative
 দাঁড়িয়ে_খাবো_নাকি_বসে ﻿,Negative
চিজ_দিয়ে_ভইরা_ফেলছেন,Neutral
কয়জন_শেয়ার,Neutral
কেরি_সময়_হইতো_এমনটা_হয়েছে,Neutral
"
ডেলিভারির_টাইমে_হইসে_দোকানের_দোষ_না",Neutral
It_s_not_pizza_more_like_Pizza_ভর্তা,Negative
রাইডার_এক্সিডেন্ট_ডেলিভারীদের_দোষ,Neutral
 পার্সেল_নিশ্চয়_সাইকেল_দিসে_তাই_মিক্স,Negative
 লালবাতি_জ্বলতে_দেরি_না,Negative
শুনলেও_পাছা_নাড়িয়ে_আসতে_আসতে_রাত_পোহায়,Negative
বয়রা_ডাকলে _শুনে_না,Negative
সার্ভিস_বহুদিন_ধরেই_ভাল,Positive
ভাব_দেখায়ল_change_এনে_দিবে,Negative
 cook_না_করে_দিসে,Negative
meat_খাওয়ায়_যায়_নাই,Negative
খারাপ_বিরয়ানি_নাই,Negative
আরও_যাব_ভাবসিলাম ,Negative
AC_কমাই_রাখলে_ক্যামনে_নষ্ট,Negative
পোলাও_নাকি_অন্য_কিছু,Negative
এটা_কাচ্চি,Negative
এতই_শুকনা_পানি_দিয়ে_গলা_ভিজাই_খাইসি ,Negative
হাতে_ভাত_খাচ্চি_শুকনা_কিছুর_গ্রেভি_দিতে_বললাম,Negative
 মনে_হয়না_ফ্রিতে_পেতাম,Negative
 সময়_লাগবে,Negative
খাইতে_খাটনি_হইসে,Negative
 সিদ্ধ_হবে,Neutral
 চাবাতে_মুখের_ব্যায়াম_হইসে,Negative
চাল_৯০%_সিদ্ধ_হইসে,Neutral
মাংসটাও_সিদ্ধ_না,Negative
৩০০_টাকা_১৫%_ভ্যাট,Negative
কিপটামি_করলে_কাচ্চি_কেমনে,Negative
মশলা_নাম_গন্ধ_নাই ,Negative
শক্ত,Negative
মোটামুটি_সাইজের,Neutral
দুই_পিসে_১পিস_হাড্ডি  ,Negative
আরেকপিস_ফেলে_দিসি,Negative
কোনমতে_কামড়ে_খাইসি,Negative
কাচ্চির_সাপোর্টিং_হিরো_অর্থাৎ_আলু_শক্ত,Negative
ভাল্লাগসে,Positive
দ্বিতীয়বার_টেস্টর_দাবিই_রাখেনা,Negative
পরিমাণে_প্লেসে_ভালই_অফার,Positive
বেটার_7Dayz_ট্রাই,Positive
সবখানে_কাচ্চি_খাইতে_যায়_নাকি,Neutral
 হুরর_ব্যাটা,Negative
আইেমগুলো_এট্টু_ফাও_টাইপের,Negative
সেখানেই_যাবেন_খাইতে_আইটেম_ট্রাই_করবেন    ,Positive
উইন্ড_অফ_চেন্জে_কাচ্চি_বারকোডে_শর্মা_একই,Negative
নরমাল_বিরিয়ানি_খাওয়াই_ভাল,Negative
একদম_বাজে,Negative
অখাদ্য,Negative
বাজে_বাজেটে_নির্ধারণ,Negative
 না_যাওয়াই_better ,Negative
 ফুড_ভাল_না,Negative
রেস্টুরেন্টে_ভ্যাট_৭.৫_আমার_১৫_নিল,Negative
ছ্যাচড়া_পাব্লিক ,Negative
3rd_clss_বাজে_খাবার,Negative
৩_জনর_different_সেট_মিল_অর্ডার_নিবেনা,Negative
১২টা_বাজে_food_খেয়ে,Negative
বোকা_হয়ে_খাইতে_যাই ,Negative
 বর্জন_করুন ,Negative
খারাপ,Negative
স্বাদ_খারাপ ,Negative
বলার_নাই ,Negative
মেনুতে_সব_দেই_নাই,Negative
বাজে_কেমনে,Negative
ভালো_বিহেভ,Positive
ভালো_লাগলো,Positive
জায়গাটা_বড়_ভালো ,Positive
খাবারের_মান_১০০/১০০,Positive
মোটামুটি_ভালো ,Neutral
বাজে_লাগসে,Negative
সেরা_ভালো_বিরানি ,Positive
টেস,Positive
 যায়গা_কম ,Negative
আলোকসজ্জা_বা_ইন্টেরিয়র_ডিজাইন্ড_না,Negative
ব্যাবহার_খুব_ভাল,Positive
কাচিছ_ভাল,Positive
খাবার_অর্ডার_পরিবেশন_সময়_লাগে,Negative
পূর্বের_স্বাদ_পাওয়া_যাচ্ছে_না ,Negative
মান_বাজে,Negative
অত্যন্ত_বাজে_ব্যবহার,Negative
জাস্ট_অসাধারণ_রেস্টুরেন্ট,Positive
খুবই_বাজে_অভিজ্ঞতা ,Negative
বাসমতির_ভেতর__সম্পূর্ণ_চর্বিযুক্ত_হাড়_ছোট্ট_মাংসযুক্ত_হাড়_আলু_বড়া_পেলাম,Negative
একটু_ভালো_পারতো,Neutral
চিকেনটা_ভাল ,Positive
স্বাস্থ্যকর_খাবার ,Positive
ফালতু_রেস্টুরেন্ট,Negative
আইটেমগুলো_টোটালি_ফাউল,Negative
মান_আরো_ভাল ,Neutral
খাবারের_কথা_বলার_অপেক্ষা_রাখেনা,Neutral
 খারাপ_বিহ্যাভিয়ার,Negative
আরো_এড_দিচ্ছে_ঢ়াকাইয়া_বিরানী,Negative
ঐটা_না_হয়ছে_খাচ্চি_না_হয়ছে_হাইদ্রাবাদি_বিরানী,Negative
 বাপের_জন্মে_কাচ্চি_খাই_নাই,Negative
ভালো_শিক্ষা_পেলাম ,Neutral
ভালো_লাগছে_খেয়ে,Positive
কাস্টমারদের_যত্ন_নিয়েন,Neutral
 মনের_মতো_না,Negative
আইটেম_চেঞ্জ_চিকেন_ফ্রাই_টা_পেলাম,Negative
প্লেটারটা_ভালো,Positive
স্যার_স্যার_করে_৬০_টাকার_বিরিয়ানি_১২০_টাকা_নেন,Negative
সেরা_ভাই,Positive
হাল্কা_ক্ষুদা_মেটানর_সেরা_প্যাকেজ_ভাল_লাগসে ,Positive
অসাধারন,Positive
স্বাদ_মাস্ট_ট্রাই ,Positive
পরিবেশনার_সৌন্দর্যটাও_চোখে_পরল_না,Negative
দাম_অনুযায়ি_কি_খাইলাম_খুঁজে_পাইলাম_না,Negative
মাছি_উড়ছিল ,Negative
ম্যাঙ্গো_জুস_টা_হচ্ছিল_ফ্রুটিকার_সাথে_পানি_আর_চিনি_মিক্স_দিল,Negative
 ক্ষুদার_জ্বালায়_খাইলাম,Neutral
হাত_দিয়ে_মাছি_সরানোর_চেষ্টা ,Negative
টাকা_দিয়ে_বরফের_টুকরা_খেতে_ইচ্ছা_খেয়ে_ফেলবেন,Negative
মাছি_ঘুরঘুর ,Negative
গা_ছাড়া_ভাব ,Negative
শতাংশ_খাওয়ার_পর_মেয়াদউত্তির্ন,Negative
টেবিলে_মুখরোচক_খাবার_অর্ডার_করুন_সপ্তাহের_মেনু,Positive
অর্ডার_করুন,Positive
সবসময়তো_কয়ে_ভাল_মন্দ_খাওয়া_যায়না,Negative
রাত_বিরাতে_১_২টার__পাকস্থলীর_ভাল_মন্দ_খাইতে_চাইতেই_পাকস্থলী_জিভের_চাওয়া_পাওয়াকে_এক_করতে_ভাপা_ইলিশ_পোলাও_দিয়ে_রাতের_খানাটা_সেরে_নিলুম,Positive
নায়কের_রাজা_নাম্বার_ওয়ান_স্কিব_খান_মাছের_রাজা_ইলিশ_তেমনি_ঘরের_বাইরে_খাওয়া_সেরা_ইলিশ_পোলাওয়ের_রাজা_প্রিমিয়াম_সুইটস,Positive
দাম_কমছে,Positive
রেস্টুরেন্টগুলোর_শেফ_স্টাফরা_হরহামেশাই_নোটিশ_ছাড়াই_জব_ছেড়ে_দেয়_শিফট_করে_শেফ_মত_হঠাৎ_চলে_যাওয়াটা_যেকোন_রেস্তোরাকে_ব্র‍্যান্ড_গড়ে_তুলতে_সবচেয়ে_বড়_প্রতিবন্ধকতা,Negative
যতটুকু_জানি_কিচেন_থেকে_শুরু_করে_স্টাফ_শেফদের_ভালমানের_বেতন_ও_সুবিধা_নিশ্চিত_করে_সহজেই_কোথাও_শিফট_করেনা_বিধায়_খানার_মান_স্বাদ_এখনও_একইরকম_ধরে_রাখতে_সক্ষম,Positive
হাতের_পরশে_গোসত_খুলে_আসে_জিভ_মুখের_তালুর_চাপে_আলু_ভেংগে_১৬_১৭_মাস_কচি_খাসির_গোসতের_পরতে_একটুখানি_সুঘ্রাণ_ঘিয়ে_ভাজা_সাদা_হলদে_ভাত_মুখে_পরে_তারই_নাম_পারফেক্ট_কাচ্চি,Positive
কপাল_পিন্ডি_চটকে_যায়,Negative
কাচ্চির_মূল_মৌলিক_রন্ধনপ্রনালিতো_কজনা_জানে_তা_বাদই_দিলাম,Negative
কাচ্চির_তফাৎ_গুলিয়ে,Positive
ঢাকার_প্রসিদ্ধ_সেরা_১০_কাচ্চি_বাবুরচির_একজন_রহমত_সাহেব,Positive
ভিডিওয়ের_কাচ্চিটি_পিএসসি_হলের_বাবুর্চি_সাহেবের_পাকানো_বিয়ের_অনুষ্ঠানের_আয়োজনে,Positive
খিলায়_দেন,Neutral
হা_করসি ,Neutral
ওয়ান_অফ_দা_বেস্ট_কাচ্চি,Positive
 রিভিউ_দিয়েছিলেন,Neutral
রিভিউ_দিয়েছিলেন,Positive
উম্মম্মম্মম্মম্মম্মম্মম_করে_খাওয়া_ছাড়া_কোন_গতি_আছে,Positive
কিচেনের_অর্ধেকটা_দেশি_মুরগির_মুচমুচে_স্বাদের_ক্রাম্ব_ফ্রাই ,Positive
পরোটার_সাথে_পেয়াজ_কুচি_ধনে_পাতায়_চিপে_নেওয়া_লেবু,Positive
 নিঃশব্দে_চোখ_বন্ধ_করে_খাওয়া_ছাড়া_গতি_কি,Positive
চিকেন_ক্রাম্ব_রোজা_পাওয়া_যায়_ধানমন্ডিতে_সালাম_বাবুর্চি_সাহেবের_ভিক্টোরিয়া_হল_ইফিতারি_আয়োজনে,Positive
মুরগির_রন্ধন_প্রনালির_মধ্যে_সেরা_লাগে,Positive
বেশ_ভালো,Positive
only_Ramadan_এ_available_নাকি_always,Neutral
পরোটা_কত_রে,Neutral
সেরা_জিভ ,Neutral
এক_খানা_খেলাম,Positive
মেজবানি_ডাল_বলতে__চির_চেনা_পরিচিত_নাম_চোখের_সামনে_ভেসে_উঠে_Chittagong_Express,Positive
এখানে_ট্রাই_কয়েন,Positive
 প্রথম_দিকের_স্বাদ_বর্তমানের_স্বাদে_বিশাল_ফারাক,Negative
মাঝে_মাঝেই_খাই,Neutral
পরে_রান্নায়_বিস্তর_ফারাক,Negative
সমস্যা,Negative
পপুলারিটি_পাইলে_যা_হয়,Negative
এইটাও_গেল ,Negative
